,City,Lattitutde,Longitude,Country,Date,Humidity,Cloudiness,Max Temp,Wind Speed
0,Mataura,-46.19,168.86,NZ,1577673206,78,91,57.99,15.01
1,Port Alfred,-33.59,26.89,ZA,1577673249,96,10,69.01,11.36
2,Ushuaia,-54.81,-68.31,AR,1577673627,66,11,50.0,5.82
3,Vestmannaeyjar,63.44,-20.27,IS,1577673672,72,0,40.87,18.07
4,Faanui,-16.48,-151.75,PF,1577673380,76,100,81.73,12.24
5,Saint Anthony,43.97,-111.68,US,1577673675,79,90,19.4,4.38
6,Qaanaaq,77.48,-69.36,GL,1577673232,89,100,-10.28,1.34
7,Arraial do Cabo,-22.97,-42.02,BR,1577673152,85,5,75.72,10.13
8,Mangai,-4.07,19.59,CD,1577673679,92,100,69.62,1.88
9,Melfort,52.87,-104.61,CA,1577673680,92,90,8.6,5.82
10,Chokurdakh,70.62,147.9,RU,1577673196,84,65,-30.41,7.07
11,Mar del Plata,-46.43,-67.52,AR,1577673102,62,59,60.76,5.73
12,Lorengau,-2.02,147.27,PG,1577673533,68,15,84.33,5.21
13,Jawar,32.75,45.21,IQ,1577673685,51,0,55.45,8.84
14,Port Blair,11.67,92.75,IN,1577673465,76,16,81.5,13.87
15,Rikitea,-23.12,-134.97,PF,1577673240,78,100,77.41,5.75
16,Kumba,4.64,9.44,CM,1577673689,78,32,73.99,0.81
17,Albany,42.65,-73.75,US,1577672958,86,90,35.6,4.7
18,Khatanga,71.98,102.47,RU,1577673343,97,42,-32.57,6.46
19,Matai,-8.3,31.52,TZ,1577673693,96,99,58.98,1.9
20,Jiuquan,39.73,98.49,CN,1577673695,53,24,16.14,3.8
21,Kaseda,31.42,130.32,JP,1577673696,100,75,57.2,3.36
22,Omboue,-1.57,9.26,GA,1577673698,92,76,75.22,1.21
23,Tuktoyaktuk,69.44,-133.03,CA,1577673338,74,75,-22.0,12.75
24,New Norfolk,-42.78,147.06,AU,1577673305,37,28,102.99,12.75
25,Severo-Kurilsk,50.68,156.12,RU,1577673188,92,100,25.99,11.74
26,Sampit,-2.54,112.95,ID,1577673704,72,31,87.82,0.56
27,Kloulklubed,7.04,134.26,PW,1577673706,70,75,86.0,11.41
28,Yellowknife,62.45,-114.38,CA,1577673248,75,75,-17.0,6.11
29,Batagay,67.65,134.64,RU,1577673709,77,0,-26.41,4.21
30,Bethel,60.79,-161.76,US,1577673461,68,1,-14.8,16.11
31,East London,-33.02,27.91,ZA,1577673191,83,9,70.2,8.66
32,Kerouane,12.23,-12.34,GN,1577673713,21,2,66.18,4.16
33,Sacramento,38.58,-121.49,US,1577673567,100,90,50.0,6.93
34,Saint-Philippe,45.36,-73.48,CA,1577673421,68,90,28.99,12.75
35,Bredasdorp,-34.53,20.04,ZA,1577673225,82,67,66.2,6.93
36,Erenhot,43.65,111.97,CN,1577673372,78,84,-3.68,11.72
37,Dingle,11.0,122.67,PH,1577673720,77,14,82.08,11.52
38,Lompoc,34.64,-120.46,US,1577673132,81,40,54.0,5.64
39,Vardo,39.62,-77.74,US,1577673367,93,90,50.0,4.7
40,Gizo,31.8,34.94,IL,1577673724,58,0,55.0,5.82
41,Lugovoy,59.72,65.88,RU,1577673725,88,0,-4.61,4.72
42,Imbituba,-28.24,-48.67,BR,1577673726,88,40,77.0,9.17
43,Ola,59.58,151.3,RU,1577673527,74,100,6.39,7.61
44,Pangody,65.85,74.49,RU,1577673730,91,100,13.3,15.93
45,Vila Velha,-3.71,-38.6,BR,1577673731,78,75,86.0,9.17
46,Chuy,-33.69,-53.46,UY,1577673325,93,51,70.39,4.74
47,Alekseyevskaya,45.77,40.15,RU,1577673734,80,100,37.0,12.28
48,Kostomuksha,64.59,30.6,RU,1577673735,98,100,36.86,16.58
